location_id,user_id,address,latitude,longitude,elevation,aspect,slope_deg,soil_type,sunlight_hours,hardiness_zone,is_verified
fb41d008-a0d7-4f75-be2a-1cd4b35378ff,e30b7ded-ccf9-4c94-8787-fb0c101e9cfa,"769, avenue Aubry, 85330 Vallée-sur-Toussaint",33.626256,139.661361,1967.0,southwest,23.7,moist well-drained,5.5,9,True
3bc7fb08-b181-46ec-a7d2-e2b466e9f1c2,bef56351-ec5d-4d62-9f3b-8703cad11ff4,京都府香取郡東庄町蔵前29丁目15番19号 パーク日比谷公園435,29.225225,-121.90977,2457.0,southwest,3.6,rocky well-drained,11.7,10,True
e05ebde2-dbd9-4052-8fd2-05ea47f80002,bef56351-ec5d-4d62-9f3b-8703cad11ff4,"Vila Kevin Cardoso, 64, Vila Maria, 18547-489 da Mata / SP",29.72185,-122.374341,,northeast,15.7,rocky alkaline,12.0,9,False
65286af3-0647-48f5-a6a5-811d855fe077,20bb96aa-3100-4a2b-8735-55e32c59ec43,,53.508123,150.445606,313.0,north,16.0,moist acidic,11.6,6,False
815d0973-0031-4766-9527-48854b88217b,57d876a3-9eac-455f-ab3b-626f1ae82671,,16.838213,-35.73421,1513.0,northwest,6.0,sandy loam,9.0,11,False
c81d2050-fc17-4ccf-929f-1300fb7156b8,b09ab09f-a124-4fef-a4d7-afeb8b29128e,,-50.480186,-50.520231,,southwest,19.2,rocky alkaline,4.6,6,False
a3031bbf-fa4a-4cdb-ac07-2eed7cb33b19,b09ab09f-a124-4fef-a4d7-afeb8b29128e,"7, boulevard Margaret Marques, 64683 Delannoy",-51.382758,-50.351198,2143.0,southeast,25.6,rocky well-drained,11.4,6,True
609d9720-b1bb-4a86-9006-3d928757b750,fec6c189-cc66-413b-9b9f-256e8694ab85,"H.No. 01, Date Road, Gudivada 930465",49.892557,2.863111,1508.0,southwest,,moist well-drained,5.5,5,True
18604354-cb28-41c9-bf5d-e6a1448509bc,76d94fe0-f321-440f-8849-6ea507b80c5c,,51.394192,-0.735178,1633.0,northwest,33.7,deep well-drained,7.6,4,True
4398f68e-78b5-4c79-8de2-a89abd674599,f282c2ff-5274-4148-8fcf-121f5dc2dd61,"H.No. 90, Sibal Nagar, Agartala-172716",48.518536,90.464774,2061.0,northeast,12.9,well-drained,10.2,5,False
d2a5432d-cf7a-4deb-9789-a00ffb94e4c3,b629c1fd-91f9-43f3-aa7a-4d59b40e6e01,静岡県文京区上野桜木31丁目20番6号 パーク前弥六南町636,39.184162,115.393132,288.0,south,31.7,rocky well-drained,10.2,7,False
00632bdc-4996-40f0-a356-6cfdbbf3a206,b629c1fd-91f9-43f3-aa7a-4d59b40e6e01,"8 Corey Lees, Lake Patrickport, WA, 2604",38.355933,116.179128,1099.0,south,21.0,clay well-drained,9.2,6,False
7235a0b9-2e34-4884-b7d0-c2ab41d2d027,dd82a80d-9542-4fd8-8ea7-b6de904d7fc6,"Travessa Abreu, Piratininga, 90505-523 Montenegro / RJ",18.34403,-61.518847,726.0,southwest,,well-drained,4.7,10,False
60909071-1f5f-482c-b538-bb2ca6663718,0a59c5e9-380a-470b-97b0-2e8e852f34d0,,-34.707569,149.865443,2758.0,northeast,34.0,sandy loam,9.7,9,False
